Date,Cement (kg/m^3),Blast Furnace Slag (kg/m^3),Fly Ash (kg/m^3),Water (kg/m^3),Superplasticizer (kg/m^3),Coarse Aggregate (kg/m^3),Fine Aggregate (kg/m^3),Concrete compressive strength (MPa)
9/29/2024,540,0,0,162,2.5,1040,676,79.99
9/29/2024,540,0,0,162,2.5,1055,676,61.89
1/31/2024,332.5,142.5,0,228,0,932,594,40.27
10/28/2023,332.5,142.5,0,228,0,932,594,41.05
11/2/2023,198.6,132.4,0,192,0,978.4,825.5,44.3
7/29/2024,266,114,0,228,0,932,670,47.03
10/28/2023,380,95,0,228,0,932,594,43.7
9/29/2024,380,95,0,228,0,932,594,36.45
9/29/2024,266,114,0,228,0,932,670,45.85
9/29/2024,475,0,0,228,0,932,594,39.29
7/29/2024,198.6,132.4,0,192,0,978.4,825.5,38.07
9/29/2024,198.6,132.4,0,192,0,978.4,825.5,28.02
1/31/2024,427.5,47.5,0,228,0,932,594,43.01
7/29/2024,190,190,0,228,0,932,670,42.33
9/29/2024,304,76,0,228,0,932,670,47.81
7/29/2024,380,0,0,228,0,932,670,52.91
7/29/2024,139.6,209.4,0,192,0,1047,806.9,39.36
10/28/2023,342,38,0,228,0,932,670,56.14
7/29/2024,380,95,0,228,0,932,594,40.56
4/30/2024,475,0,0,228,0,932,594,42.62
4/30/2024,427.5,47.5,0,228,0,932,594,41.84
9/29/2024,139.6,209.4,0,192,0,1047,806.9,28.24
10/24/2024,139.6,209.4,0,192,0,1047,806.9,8.06
4/30/2024,139.6,209.4,0,192,0,1047,806.9,44.21
10/28/2023,380,0,0,228,0,932,670,52.52
1/31/2024,380,0,0,228,0,932,670,53.3
1/31/2024,380,95,0,228,0,932,594,41.15
4/30/2024,342,38,0,228,0,932,670,52.12
9/29/2024,427.5,47.5,0,228,0,932,594,37.43
10/20/2024,475,0,0,228,0,932,594,38.6
10/28/2023,304,76,0,228,0,932,670,55.26
10/28/2023,266,114,0,228,0,932,670,52.91
4/30/2024,198.6,132.4,0,192,0,978.4,825.5,41.72
1/31/2024,475,0,0,228,0,932,594,42.13
10/28/2023,190,190,0,228,0,932,670,53.69
1/31/2024,237.5,237.5,0,228,0,932,594,38.41
9/29/2024,237.5,237.5,0,228,0,932,594,30.08
7/29/2024,332.5,142.5,0,228,0,932,594,37.72
7/29/2024,475,0,0,228,0,932,594,42.23
4/30/2024,237.5,237.5,0,228,0,932,594,36.25
7/29/2024,342,38,0,228,0,932,670,50.46
10/28/2023,427.5,47.5,0,228,0,932,594,43.7
10/28/2023,237.5,237.5,0,228,0,932,594,39
4/30/2024,380,0,0,228,0,932,670,53.1
7/29/2024,427.5,47.5,0,228,0,932,594,41.54
10/20/2024,427.5,47.5,0,228,0,932,594,35.08
10/24/2024,349,0,0,192,0,1047,806.9,15.05
4/30/2024,380,95,0,228,0,932,594,40.76
10/20/2024,237.5,237.5,0,228,0,932,594,26.26
10/20/2024,380,95,0,228,0,932,594,32.82
4/30/2024,332.5,142.5,0,228,0,932,594,39.78
4/30/2024,190,190,0,228,0,932,670,46.93
7/29/2024,237.5,237.5,0,228,0,932,594,33.12
7/29/2024,304,76,0,228,0,932,670,49.19
10/20/2024,139.6,209.4,0,192,0,1047,806.9,14.59
10/20/2024,198.6,132.4,0,192,0,978.4,825.5,14.64
10/28/2023,475,0,0,228,0,932,594,41.93
10/24/2024,198.6,132.4,0,192,0,978.4,825.5,9.13
4/30/2024,304,76,0,228,0,932,670,50.95
9/29/2024,332.5,142.5,0,228,0,932,594,33.02
1/31/2024,304,76,0,228,0,932,670,54.38
1/31/2024,266,114,0,228,0,932,670,51.73
10/24/2024,310,0,0,192,0,971,850.6,9.87
1/31/2024,190,190,0,228,0,932,670,50.66
4/30/2024,266,114,0,228,0,932,670,48.7
1/31/2024,342,38,0,228,0,932,670,55.06
11/2/2023,139.6,209.4,0,192,0,1047,806.9,44.7
10/20/2024,332.5,142.5,0,228,0,932,594,30.28
9/29/2024,190,190,0,228,0,932,670,40.86
9/29/2024,485,0,0,146,0,1120,800,71.99
10/24/2024,374,189.2,0,170.1,10.1,926.1,756.7,34.4
10/24/2024,313.3,262.2,0,175.5,8.6,1046.9,611.8,28.8
10/24/2024,425,106.3,0,153.5,16.5,852.1,887.1,33.4
10/24/2024,425,106.3,0,151.4,18.6,936,803.7,36.3
10/24/2024,375,93.8,0,126.6,23.4,852.1,992.6,29
10/24/2024,475,118.8,0,181.1,8.9,852.1,781.5,37.8
10/24/2024,469,117.2,0,137.8,32.2,852.1,840.5,40.2
10/24/2024,425,106.3,0,153.5,16.5,852.1,887.1,33.4
10/24/2024,388.6,97.1,0,157.9,12.1,852.1,925.7,28.1
10/24/2024,531.3,0,0,141.8,28.2,852.1,893.7,41.3
10/24/2024,425,106.3,0,153.5,16.5,852.1,887.1,33.4
10/24/2024,318.8,212.5,0,155.7,14.3,852.1,880.4,25.2
10/24/2024,401.8,94.7,0,147.4,11.4,946.8,852.1,41.1
10/24/2024,362.6,189,0,164.9,11.6,944.7,755.8,35.3
10/24/2024,323.7,282.8,0,183.8,10.3,942.7,659.9,28.3
10/24/2024,379.5,151.2,0,153.9,15.9,1134.3,605,28.6
10/24/2024,362.6,189,0,164.9,11.6,944.7,755.8,35.3
10/24/2024,286.3,200.9,0,144.7,11.2,1004.6,803.7,24.4
10/24/2024,362.6,189,0,164.9,11.6,944.7,755.8,35.3
10/24/2024,439,177,0,186,11.1,884.9,707.9,39.3
10/24/2024,389.9,189,0,145.9,22,944.7,755.8,40.6
10/24/2024,362.6,189,0,164.9,11.6,944.7,755.8,35.3
10/24/2024,337.9,189,0,174.9,9.5,944.7,755.8,24.1
10/20/2024,374,189.2,0,170.1,10.1,926.1,756.7,46.2
10/20/2024,313.3,262.2,0,175.5,8.6,1046.9,611.8,42.8
10/20/2024,425,106.3,0,153.5,16.5,852.1,887.1,49.2
10/20/2024,425,106.3,0,151.4,18.6,936,803.7,46.8
10/20/2024,375,93.8,0,126.6,23.4,852.1,992.6,45.7
10/20/2024,475,118.8,0,181.1,8.9,852.1,781.5,55.6
10/20/2024,469,117.2,0,137.8,32.2,852.1,840.5,54.9
10/20/2024,425,106.3,0,153.5,16.5,852.1,887.1,49.2
10/20/2024,388.6,97.1,0,157.9,12.1,852.1,925.7,34.9
10/20/2024,531.3,0,0,141.8,28.2,852.1,893.7,46.9
10/20/2024,425,106.3,0,153.5,16.5,852.1,887.1,49.2
10/20/2024,318.8,212.5,0,155.7,14.3,852.1,880.4,33.4
10/20/2024,401.8,94.7,0,147.4,11.4,946.8,852.1,54.1
10/20/2024,362.6,189,0,164.9,11.6,944.7,755.8,55.9
10/20/2024,323.7,282.8,0,183.8,10.3,942.7,659.9,49.8
10/20/2024,379.5,151.2,0,153.9,15.9,1134.3,605,47.1
10/20/2024,362.6,189,0,164.9,11.6,944.7,755.8,55.9
10/20/2024,286.3,200.9,0,144.7,11.2,1004.6,803.7,38
10/20/2024,362.6,189,0,164.9,11.6,944.7,755.8,55.9
10/20/2024,439,177,0,186,11.1,884.9,707.9,56.1
10/20/2024,389.9,189,0,145.9,22,944.7,755.8,59.09
10/20/2024,362.6,189,0,164.9,11.6,944.7,755.8,22.9
10/20/2024,337.9,189,0,174.9,9.5,944.7,755.8,35.1
9/29/2024,374,189.2,0,170.1,10.1,926.1,756.7,61.09
9/29/2024,313.3,262.2,0,175.5,8.6,1046.9,611.8,59.8
9/29/2024,425,106.3,0,153.5,16.5,852.1,887.1,60.29
9/29/2024,425,106.3,0,151.4,18.6,936,803.7,61.8
9/29/2024,375,93.8,0,126.6,23.4,852.1,992.6,56.7
9/29/2024,475,118.8,0,181.1,8.9,852.1,781.5,68.3
9/29/2024,469,117.2,0,137.8,32.2,852.1,840.5,66.9
9/29/2024,425,106.3,0,153.5,16.5,852.1,887.1,60.29
9/29/2024,388.6,97.1,0,157.9,12.1,852.1,925.7,50.7
9/29/2024,531.3,0,0,141.8,28.2,852.1,893.7,56.4
9/29/2024,425,106.3,0,153.5,16.5,852.1,887.1,60.29
9/29/2024,318.8,212.5,0,155.7,14.3,852.1,880.4,55.5
9/29/2024,401.8,94.7,0,147.4,11.4,946.8,852.1,68.5
9/29/2024,362.6,189,0,164.9,11.6,944.7,755.8,71.3
9/29/2024,323.7,282.8,0,183.8,10.3,942.7,659.9,74.7
9/29/2024,379.5,151.2,0,153.9,15.9,1134.3,605,52.2
9/29/2024,362.6,189,0,164.9,11.6,944.7,755.8,71.3
9/29/2024,286.3,200.9,0,144.7,11.2,1004.6,803.7,67.7
9/29/2024,362.6,189,0,164.9,11.6,944.7,755.8,71.3
9/29/2024,439,177,0,186,11.1,884.9,707.9,66
9/29/2024,389.9,189,0,145.9,22,944.7,755.8,74.5
9/29/2024,362.6,189,0,164.9,11.6,944.7,755.8,71.3
9/29/2024,337.9,189,0,174.9,9.5,944.7,755.8,49.9
9/1/2024,374,189.2,0,170.1,10.1,926.1,756.7,63.4
9/1/2024,313.3,262.2,0,175.5,8.6,1046.9,611.8,64.9
9/1/2024,425,106.3,0,153.5,16.5,852.1,887.1,64.3
9/1/2024,425,106.3,0,151.4,18.6,936,803.7,64.9
9/1/2024,375,93.8,0,126.6,23.4,852.1,992.6,60.2
9/1/2024,475,118.8,0,181.1,8.9,852.1,781.5,72.3
9/1/2024,469,117.2,0,137.8,32.2,852.1,840.5,69.3
9/1/2024,425,106.3,0,153.5,16.5,852.1,887.1,64.3
9/1/2024,388.6,97.1,0,157.9,12.1,852.1,925.7,55.2
9/1/2024,531.3,0,0,141.8,28.2,852.1,893.7,58.8
9/1/2024,425,106.3,0,153.5,16.5,852.1,887.1,64.3
9/1/2024,318.8,212.5,0,155.7,14.3,852.1,880.4,66.1
9/1/2024,401.8,94.7,0,147.4,11.4,946.8,852.1,73.7
9/1/2024,362.6,189,0,164.9,11.6,944.7,755.8,77.3
9/1/2024,323.7,282.8,0,183.8,10.3,942.7,659.9,80.2
9/1/2024,379.5,151.2,0,153.9,15.9,1134.3,605,54.9
9/1/2024,362.6,189,0,164.9,11.6,944.7,755.8,77.3
9/1/2024,286.3,200.9,0,144.7,11.2,1004.6,803.7,72.99
9/1/2024,362.6,189,0,164.9,11.6,944.7,755.8,77.3
9/1/2024,439,177,0,186,11.1,884.9,707.9,71.7
9/1/2024,389.9,189,0,145.9,22,944.7,755.8,79.4
9/1/2024,362.6,189,0,164.9,11.6,944.7,755.8,77.3
9/1/2024,337.9,189,0,174.9,9.5,944.7,755.8,59.89
7/28/2024,374,189.2,0,170.1,10.1,926.1,756.7,64.9
7/28/2024,313.3,262.2,0,175.5,8.6,1046.9,611.8,66.6
7/28/2024,425,106.3,0,153.5,16.5,852.1,887.1,65.2
7/28/2024,425,106.3,0,151.4,18.6,936,803.7,66.7
7/28/2024,375,93.8,0,126.6,23.4,852.1,992.6,62.5
7/28/2024,475,118.8,0,181.1,8.9,852.1,781.5,74.19
7/28/2024,469,117.2,0,137.8,32.2,852.1,840.5,70.7
7/28/2024,425,106.3,0,153.5,16.5,852.1,887.1,65.2
7/28/2024,388.6,97.1,0,157.9,12.1,852.1,925.7,57.6
7/28/2024,531.3,0,0,141.8,28.2,852.1,893.7,59.2
7/28/2024,425,106.3,0,153.5,16.5,852.1,887.1,65.2
7/28/2024,318.8,212.5,0,155.7,14.3,852.1,880.4,68.1
7/28/2024,401.8,94.7,0,147.4,11.4,946.8,852.1,75.5
7/28/2024,362.6,189,0,164.9,11.6,944.7,755.8,79.3
7/28/2024,379.5,151.2,0,153.9,15.9,1134.3,605,56.5
7/28/2024,362.6,189,0,164.9,11.6,944.7,755.8,79.3
7/28/2024,286.3,200.9,0,144.7,11.2,1004.6,803.7,76.8
7/28/2024,362.6,189,0,164.9,11.6,944.7,755.8,79.3
7/28/2024,439,177,0,186,11.1,884.9,707.9,73.3
7/28/2024,389.9,189,0,145.9,22,944.7,755.8,82.6
7/28/2024,362.6,189,0,164.9,11.6,944.7,755.8,79.3
7/28/2024,337.9,189,0,174.9,9.5,944.7,755.8,67.8
10/24/2024,222.4,0,96.7,189.3,4.5,967.1,870.3,11.58
10/13/2024,222.4,0,96.7,189.3,4.5,967.1,870.3,24.45
9/29/2024,222.4,0,96.7,189.3,4.5,967.1,870.3,24.89
9/1/2024,222.4,0,96.7,189.3,4.5,967.1,870.3,29.45
7/19/2024,222.4,0,96.7,189.3,4.5,967.1,870.3,40.71
10/24/2024,233.8,0,94.6,197.9,4.6,947,852.2,10.38
10/13/2024,233.8,0,94.6,197.9,4.6,947,852.2,22.14
9/29/2024,233.8,0,94.6,197.9,4.6,947,852.2,22.84
9/1/2024,233.8,0,94.6,197.9,4.6,947,852.2,27.66
7/19/2024,233.8,0,94.6,197.9,4.6,947,852.2,34.56
10/24/2024,194.7,0,100.5,165.6,7.5,1006.4,905.9,12.45
10/13/2024,194.7,0,100.5,165.6,7.5,1006.4,905.9,24.99
9/29/2024,194.7,0,100.5,165.6,7.5,1006.4,905.9,25.72
9/1/2024,194.7,0,100.5,165.6,7.5,1006.4,905.9,33.96
7/19/2024,194.7,0,100.5,165.6,7.5,1006.4,905.9,37.34
10/24/2024,190.7,0,125.4,162.1,7.8,1090,804,15.04
10/13/2024,190.7,0,125.4,162.1,7.8,1090,804,21.06
9/29/2024,190.7,0,125.4,162.1,7.8,1090,804,26.4
9/1/2024,190.7,0,125.4,162.1,7.8,1090,804,35.34
7/19/2024,190.7,0,125.4,162.1,7.8,1090,804,40.57
10/24/2024,212.1,0,121.6,180.3,5.7,1057.6,779.3,12.47
10/13/2024,212.1,0,121.6,180.3,5.7,1057.6,779.3,20.92
9/29/2024,212.1,0,121.6,180.3,5.7,1057.6,779.3,24.9
9/1/2024,212.1,0,121.6,180.3,5.7,1057.6,779.3,34.2
7/19/2024,212.1,0,121.6,180.3,5.7,1057.6,779.3,39.61
10/24/2024,230,0,118.3,195.5,4.6,1029.4,758.6,10.03
10/13/2024,230,0,118.3,195.5,4.6,1029.4,758.6,20.08
9/29/2024,230,0,118.3,195.5,4.6,1029.4,758.6,24.48
9/1/2024,230,0,118.3,195.5,4.6,1029.4,758.6,31.54
7/19/2024,230,0,118.3,195.5,4.6,1029.4,758.6,35.34
10/24/2024,190.3,0,125.2,161.9,9.9,1088.1,802.6,9.45
10/13/2024,190.3,0,125.2,161.9,9.9,1088.1,802.6,22.72
9/29/2024,190.3,0,125.2,161.9,9.9,1088.1,802.6,28.47
9/1/2024,190.3,0,125.2,161.9,9.9,1088.1,802.6,38.56
7/19/2024,190.3,0,125.2,161.9,9.9,1088.1,802.6,40.39
10/24/2024,166.1,0,163.3,176.5,4.5,1058.6,780.1,10.76
10/13/2024,166.1,0,163.3,176.5,4.5,1058.6,780.1,25.48
9/29/2024,166.1,0,163.3,176.5,4.5,1058.6,780.1,21.54
9/1/2024,166.1,0,163.3,176.5,4.5,1058.6,780.1,28.63
7/19/2024,166.1,0,163.3,176.5,4.5,1058.6,780.1,33.54
10/24/2024,168,42.1,163.8,121.8,5.7,1058.7,780.1,7.75
10/13/2024,168,42.1,163.8,121.8,5.7,1058.7,780.1,17.82
9/29/2024,168,42.1,163.8,121.8,5.7,1058.7,780.1,24.24
9/1/2024,168,42.1,163.8,121.8,5.7,1058.7,780.1,32.85
7/19/2024,168,42.1,163.8,121.8,5.7,1058.7,780.1,39.23
10/24/2024,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,18
10/13/2024,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,30.39
9/29/2024,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,45.71
9/1/2024,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,50.77
7/19/2024,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,53.9
10/24/2024,213.8,98.1,24.5,181.7,6.7,1066,785.5,13.18
10/13/2024,213.8,98.1,24.5,181.7,6.7,1066,785.5,17.84
9/29/2024,213.8,98.1,24.5,181.7,6.7,1066,785.5,40.23
9/1/2024,213.8,98.1,24.5,181.7,6.7,1066,785.5,47.13
7/19/2024,213.8,98.1,24.5,181.7,6.7,1066,785.5,49.97
10/24/2024,229.7,0,118.2,195.2,6.1,1028.1,757.6,13.36
10/13/2024,229.7,0,118.2,195.2,6.1,1028.1,757.6,22.32
9/29/2024,229.7,0,118.2,195.2,6.1,1028.1,757.6,24.54
9/1/2024,229.7,0,118.2,195.2,6.1,1028.1,757.6,31.35
7/19/2024,229.7,0,118.2,195.2,6.1,1028.1,757.6,40.86
10/24/2024,238.1,0,94.1,186.7,7,949.9,847,19.93
10/13/2024,238.1,0,94.1,186.7,7,949.9,847,25.69
9/29/2024,238.1,0,94.1,186.7,7,949.9,847,30.23
9/1/2024,238.1,0,94.1,186.7,7,949.9,847,39.59
7/19/2024,238.1,0,94.1,186.7,7,949.9,847,44.3
10/24/2024,250,0,95.7,187.4,5.5,956.9,861.2,13.82
10/13/2024,250,0,95.7,187.4,5.5,956.9,861.2,24.92
9/29/2024,250,0,95.7,187.4,5.5,956.9,861.2,29.22
9/1/2024,250,0,95.7,187.4,5.5,956.9,861.2,38.33
7/19/2024,250,0,95.7,187.4,5.5,956.9,861.2,42.35
10/24/2024,212.5,0,100.4,159.3,8.7,1007.8,903.6,13.54
10/13/2024,212.5,0,100.4,159.3,8.7,1007.8,903.6,26.31
9/29/2024,212.5,0,100.4,159.3,8.7,1007.8,903.6,31.64
9/1/2024,212.5,0,100.4,159.3,8.7,1007.8,903.6,42.55
7/19/2024,212.5,0,100.4,159.3,8.7,1007.8,903.6,42.92
10/24/2024,212.6,0,100.4,159.4,10.4,1003.8,903.8,13.33
10/13/2024,212.6,0,100.4,159.4,10.4,1003.8,903.8,25.37
9/29/2024,212.6,0,100.4,159.4,10.4,1003.8,903.8,37.4
9/1/2024,212.6,0,100.4,159.4,10.4,1003.8,903.8,44.4
7/19/2024,212.6,0,100.4,159.4,10.4,1003.8,903.8,47.74
10/24/2024,212,0,124.8,159,7.8,1085.4,799.5,19.52
10/13/2024,212,0,124.8,159,7.8,1085.4,799.5,31.35
9/29/2024,212,0,124.8,159,7.8,1085.4,799.5,38.5
9/1/2024,212,0,124.8,159,7.8,1085.4,799.5,45.08
7/19/2024,212,0,124.8,159,7.8,1085.4,799.5,47.82
10/24/2024,231.8,0,121.6,174,6.7,1056.4,778.5,15.44
10/13/2024,231.8,0,121.6,174,6.7,1056.4,778.5,26.77
9/29/2024,231.8,0,121.6,174,6.7,1056.4,778.5,33.73
9/1/2024,231.8,0,121.6,174,6.7,1056.4,778.5,42.7
7/19/2024,231.8,0,121.6,174,6.7,1056.4,778.5,45.84
10/24/2024,251.4,0,118.3,188.5,5.8,1028.4,757.7,17.22
10/13/2024,251.4,0,118.3,188.5,5.8,1028.4,757.7,29.93
9/29/2024,251.4,0,118.3,188.5,5.8,1028.4,757.7,29.65
9/1/2024,251.4,0,118.3,188.5,5.8,1028.4,757.7,36.97
7/19/2024,251.4,0,118.3,188.5,5.8,1028.4,757.7,43.58
10/24/2024,251.4,0,118.3,188.5,6.4,1028.4,757.7,13.12
10/13/2024,251.4,0,118.3,188.5,6.4,1028.4,757.7,24.43
9/29/2024,251.4,0,118.3,188.5,6.4,1028.4,757.7,32.66
9/1/2024,251.4,0,118.3,188.5,6.4,1028.4,757.7,36.64
7/19/2024,251.4,0,118.3,188.5,6.4,1028.4,757.7,44.21
10/24/2024,181.4,0,167,169.6,7.6,1055.6,777.8,13.62
10/13/2024,181.4,0,167,169.6,7.6,1055.6,777.8,21.6
9/29/2024,181.4,0,167,169.6,7.6,1055.6,777.8,27.77
9/1/2024,181.4,0,167,169.6,7.6,1055.6,777.8,35.57
7/19/2024,181.4,0,167,169.6,7.6,1055.6,777.8,45.37
10/24/2024,182,45.2,122,170.2,8.2,1059.4,780.7,7.32
10/13/2024,182,45.2,122,170.2,8.2,1059.4,780.7,21.5
9/29/2024,182,45.2,122,170.2,8.2,1059.4,780.7,31.27
9/1/2024,182,45.2,122,170.2,8.2,1059.4,780.7,43.5
7/19/2024,182,45.2,122,170.2,8.2,1059.4,780.7,48.67
10/24/2024,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,7.4
10/13/2024,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,23.51
9/29/2024,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,31.12
9/1/2024,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,39.15
7/19/2024,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,48.15
10/24/2024,290.4,0,96.2,168.1,9.4,961.2,865,22.5
10/13/2024,290.4,0,96.2,168.1,9.4,961.2,865,34.67
9/29/2024,290.4,0,96.2,168.1,9.4,961.2,865,34.74
9/1/2024,290.4,0,96.2,168.1,9.4,961.2,865,45.08
7/19/2024,290.4,0,96.2,168.1,9.4,961.2,865,48.97
10/24/2024,277.1,0,97.4,160.6,11.8,973.9,875.6,23.14
10/13/2024,277.1,0,97.4,160.6,11.8,973.9,875.6,41.89
9/29/2024,277.1,0,97.4,160.6,11.8,973.9,875.6,48.28
9/1/2024,277.1,0,97.4,160.6,11.8,973.9,875.6,51.04
7/19/2024,277.1,0,97.4,160.6,11.8,973.9,875.6,55.64
10/24/2024,295.7,0,95.6,171.5,8.9,955.1,859.2,22.95
10/13/2024,295.7,0,95.6,171.5,8.9,955.1,859.2,35.23
9/29/2024,295.7,0,95.6,171.5,8.9,955.1,859.2,39.94
9/1/2024,295.7,0,95.6,171.5,8.9,955.1,859.2,48.72
7/19/2024,295.7,0,95.6,171.5,8.9,955.1,859.2,52.04
10/24/2024,251.8,0,99.9,146.1,12.4,1006,899.8,21.02
10/13/2024,251.8,0,99.9,146.1,12.4,1006,899.8,33.36
9/29/2024,251.8,0,99.9,146.1,12.4,1006,899.8,33.94
9/1/2024,251.8,0,99.9,146.1,12.4,1006,899.8,44.14
7/19/2024,251.8,0,99.9,146.1,12.4,1006,899.8,45.37
10/24/2024,249.1,0,98.8,158.1,12.8,987.8,889,15.36
10/13/2024,249.1,0,98.8,158.1,12.8,987.8,889,28.68
9/29/2024,249.1,0,98.8,158.1,12.8,987.8,889,30.85
